username,scrobble_date,artist,track,album,insertion_date,genre
isaaflintz,2021-01-12 17:24:46.000,Rick Astley,Never Gonna Give You Up,Whenever You Need Somebody,2024-06-17 14:52:12.921,RICKROLLED
Luca1_2_3,2024-01-12 18:01:44.000,Jeff Rosenstock,LIKED U BETTER,HELLMODE,2024-06-17 14:36:21.378,seen live
Luca1_2_3,2024-01-12 18:01:44.000,Jeff Rosenstock,LIKED U BETTER,HELLMODE,2024-06-17 14:36:21.378,power pop
Luca1_2_3,2024-01-12 18:01:44.000,Jeff Rosenstock,LIKED U BETTER,HELLMODE,2024-06-17 14:36:21.378,american
Luca1_2_3,2024-01-12 18:01:44.000,Jeff Rosenstock,LIKED U BETTER,HELLMODE,2024-06-17 14:36:21.378,pop punk
Luca1_2_3,2024-01-12 18:01:44.000,Jeff Rosenstock,LIKED U BETTER,HELLMODE,2024-06-17 14:36:21.378,ska punk
Hydraine,2023-06-01 06:02:20.000,bôa,Duvet,Twilight,2024-06-17 15:17:34.850,anime
Hydraine,2023-06-01 06:02:20.000,bôa,Duvet,Twilight,2024-06-17 15:17:34.850,serial experiments lain
Hydraine,2023-06-01 06:02:20.000,bôa,Duvet,Twilight,2024-06-17 15:17:34.850,female vocalists
Hydraine,2023-06-01 06:02:20.000,bôa,Duvet,Twilight,2024-06-17 15:17:34.850,Soundtrack
Hydraine,2023-06-01 06:02:20.000,bôa,Duvet,Twilight,2024-06-17 15:17:34.850,lain
isaaflintz,2023-03-31 20:49:34.000,Hotel Ugly,Shut up My Moms Calling,Shut up My Moms Calling,2024-06-17 14:46:29.209,MySpotigramBot
isaaflintz,2023-03-31 20:49:34.000,Hotel Ugly,Shut up My Moms Calling,Shut up My Moms Calling,2024-06-17 14:46:29.209,-1001190477876
isaaflintz,2023-03-31 20:49:34.000,Hotel Ugly,Shut up My Moms Calling,Shut up My Moms Calling,2024-06-17 14:46:29.209,-1001819731063
Hydraine,2024-05-06 11:03:48.000,Phantogram,When I'm Small,Eyelid Movies,2024-06-17 15:15:03.699,trip-hop
Hydraine,2024-05-06 11:03:48.000,Phantogram,When I'm Small,Eyelid Movies,2024-06-17 15:15:03.699,indie
Hydraine,2024-05-06 11:03:48.000,Phantogram,When I'm Small,Eyelid Movies,2024-06-17 15:15:03.699,electronic
Hydraine,2024-05-06 11:03:48.000,Phantogram,When I'm Small,Eyelid Movies,2024-06-17 15:15:03.699,experimental
Hydraine,2024-05-06 11:03:48.000,Phantogram,When I'm Small,Eyelid Movies,2024-06-17 15:15:03.699,female vocalists
K0KKy,2022-10-15 18:19:41.000,Charlie Brown Jr.,Fina Arte,La Familia 013,2024-06-17 12:40:45.815,Reggae Rock
isaaflintz,2019-04-28 10:35:02.000,Los Hermanos,Sentimental,Bloco do Eu Sozinho,2024-06-17 15:00:05.072,los hermanos
isaaflintz,2019-04-28 10:35:02.000,Los Hermanos,Sentimental,Bloco do Eu Sozinho,2024-06-17 15:00:05.072,mpb
isaaflintz,2019-04-28 10:35:02.000,Los Hermanos,Sentimental,Bloco do Eu Sozinho,2024-06-17 15:00:05.072,rock
isaaflintz,2019-04-28 10:35:02.000,Los Hermanos,Sentimental,Bloco do Eu Sozinho,2024-06-17 15:00:05.072,brazilian
isaaflintz,2019-04-28 10:35:02.000,Los Hermanos,Sentimental,Bloco do Eu Sozinho,2024-06-17 15:00:05.072,indie
rmottafc,2022-11-04 20:30:37.000,Drake,Major Distribution,Her Loss,2024-06-17 12:55:48.653,MySpotigramBot
rmottafc,2022-11-04 20:30:37.000,Drake,Major Distribution,Her Loss,2024-06-17 12:55:48.653,-1001747063611
rmottafc,2022-11-04 20:30:37.000,Drake,Major Distribution,Her Loss,2024-06-17 12:55:48.653,Hip-Hop
rmottafc,2022-11-04 20:30:37.000,Drake,Major Distribution,Her Loss,2024-06-17 12:55:48.653,rnb
rmottafc,2022-11-04 20:30:37.000,Drake,Major Distribution,Her Loss,2024-06-17 12:55:48.653,trap
pedrokuchpil,2020-07-25 14:43:09.000,Flo Rida,Low (feat. T-Pain),Mail on Sunday,2024-06-17 15:51:00.175,Hip-Hop
pedrokuchpil,2020-07-25 14:43:09.000,Flo Rida,Low (feat. T-Pain),Mail on Sunday,2024-06-17 15:51:00.175,Flo Rida
